Month,XGB,LSTM,Ensemble
Month 1,790.1319,982.0325928288894,886.0822449007728
Month 2,790.1319,976.4410598824725,883.2864784275644
Month 3,790.1319,970.3581886748943,880.2450428237753
Month 4,790.1319,964.2923106137741,877.2121037932152
Month 5,790.1319,958.4223601551921,874.2771285639242
Month 6,790.1319,952.80314300991,871.4675199912831
Month 7,790.1319,947.425543649033,868.7787203108446
Month 8,790.1319,942.257151303158,866.1945241379071
Month 9,790.1319,937.2628543054316,863.6973756390439
Month 10,790.1319,932.413280396082,861.2725886843691
Month 11,790.1319,927.6885104564135,858.9102037145349
Month 12,790.1319,923.0753776113561,856.6036372920062
