Month,XGB,LSTM,Ensemble
Month 1,1673.2526,1612.4024293476805,1642.8274964121215
Month 2,1656.9805,1599.121007171605,1628.0507379608025
Month 3,1679.703,1587.1337762452695,1633.4183895874785
Month 4,1655.0798,1576.1953783890704,1615.6376061867227
Month 5,1670.8364,1566.000265341866,1618.418345561558
Month 6,1653.54,1556.2534430061178,1604.896741034309
Month 7,1671.7578,1546.7287805893802,1609.24329654469
Month 8,1671.7578,1537.2748624177839,1604.516337458892
Month 9,1671.7578,1527.81582390939,1599.786818204695
Month 10,1671.7578,1518.3314972070166,1595.0446548535083
Month 11,1671.7578,1508.8361983543628,1590.2970054271814
Month 12,1671.7578,1499.3639932656324,1585.5609028828162
