Month,XGB,LSTM,Ensemble
Month 1,1253.0315,1539.865870900203,1396.448682520414
Month 2,1253.0315,1537.3705059714066,1395.2010000560158
Month 3,1253.0315,1535.8186350319256,1394.4250645862753
Month 4,1253.0315,1534.4394629739245,1393.7354785572747
Month 5,1253.0315,1532.8970088318829,1392.964251486254
Month 6,1253.0315,1531.089502079346,1392.0604981099855
Month 7,1253.0315,1529.0457978570912,1391.038645998858
Month 8,1253.0315,1526.8634334523576,1389.9474637964913
Month 9,1253.0315,1524.6370951953613,1388.8342946679932
Month 10,1253.0315,1522.4444500668178,1387.7379721037214
Month 11,1253.0315,1520.3353466183098,1386.6834203794674
Month 12,1253.0315,1518.3289640152643,1385.6802290779447
