Month,XGB,LSTM,Ensemble
Month 1,3240.2231,3224.5949685935047,3232.4090565623774
Month 2,3238.931,3206.062119530776,3222.4965138669504
Month 3,3229.9507,3189.703711127575,3209.8271973606625
Month 4,3229.9507,3175.0596801160973,3202.5051818549236
Month 5,3216.7683,3161.6213406621446,3189.19482560451
Month 6,3214.3147,3148.943438401382,3181.6290678335035
Month 7,3214.3147,3136.688577149749,3175.501637207687
Month 8,3208.8154,3124.630427499211,3166.7229285933554
Month 9,3208.8154,3112.6334879830156,3160.724458835258
Month 10,3208.8154,3100.638769802341,3154.7270997449205
Month 11,3164.484,3088.6317108687745,3126.5577987937622
Month 12,3162.088,3076.627613715902,3119.357752170451
