Month,XGB,LSTM,Ensemble
Month 1,22.056055,22.035189181981444,22.045622125475585
Month 2,22.056055,22.349301524871766,22.202678296920745
Month 3,22.056055,22.692949593331168,22.374502331150445
Month 4,22.056055,23.05008524898627,22.553070158978
Month 5,22.056055,23.411242616963882,22.733648842966804
Month 6,22.056055,23.771484999638858,22.913770034304292
Month 7,22.056055,24.128526341424305,23.092290705197016
Month 8,22.056055,24.481634654078114,23.26884486152392
Month 9,22.056055,24.830949296900226,23.443502182934978
Month 10,22.056055,25.176975623311634,23.61651534614068
Month 11,22.056055,25.52045265990293,23.788253864436328
Month 12,22.056055,25.86203919609201,23.95904713253087
