Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
20 Microns Limited,20MICRONS.NS,12.306953,17.69,0.14787,35.637,-0.039
21st Century Management Services Limited,21STCENMGM.NS,,-19.14,-0.28151,,
360 ONE WAM LIMITED,360ONE.NS,42.68549,27.63,0.16991,147.235,0.244
3i Infotech Limited,3IINFOLTD.NS,4.251269,3.94,0.23164,10.763,-0.015
3M India Limited,3MINDIA.NS,70.42182,490.97,0.33832002,6.416,0.14
3P Land Holdings Limited,3PLAND.NS,,,,,
5Paisa Capital Limited,5PAISA.NS,22.333113,15.13,0.07865,46.389,-0.269
63 moons technologies limited,63MOONS.NS,,-7.0,-0.01773,0.148,-0.466
A2Z Infra Engineering Limited,A2ZINFRA.NS,125.928566,0.14,-0.018609999,353.886,0.208
AAA Technologies Limited,AAATECH.NS,33.803635,2.75,0.11717,,0.823
Aadhar Housing Finance Limited,AADHARHFC.NS,21.607143,22.4,0.15477,255.35,0.169
Aakash Exploration Services Limited,AAKASH.NS,,-0.05,0.02232,53.68,0.076
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS,56.615997,1.25,0.0252,38.267,-0.2
Aaron Industries Limited,AARON.NS,52.75749,3.34,0.16944,72.439,0.216
Aartech Solonics Limited,AARTECH.NS,52.838707,0.93,0.09066,15.972,0.244
Aarti Drugs Limited,AARTIDRUGS.NS,19.203865,21.73,0.14491999,39.05,0.091
Aarti Industries Limited,AARTIIND.NS,46.99126,8.01,0.05215,69.555,0.291
Aarti Pharmalabs Limited,AARTIPHARM.NS,28.08245,26.44,0.12287,32.974,-0.087
Aarti Surfactants Limited,AARTISURF.NS,22.094593,17.76,0.06545,49.926,0.188
Aarvi Encon Limited,AARVI.NS,13.374999,9.6,0.11412,24.178,0.313
Aavas Financiers Limited,AAVAS.NS,19.622217,75.44,0.13823,307.971,0.175
Aban Offshore Limited,ABAN.NS,,-187.92,,,-0.617
ABB India Limited,ABB.NS,62.11649,83.44,,1.018,0.137
Abbott India Limited,ABBOTINDIA.NS,40.71012,710.02,0.40068,4.549,0.076
Aditya Birla Capital Limited,ABCAPITAL.NS,28.076612,12.4,0.10341,459.779,-0.031
A B Cotspin India Limited,ABCOTS.NS,46.123596,8.9,0.12702,93.028,-0.34
Allied Blenders and Distillers Limited,ABDL.NS,66.690216,9.2,0.17039,66.738,0.144
Aditya Birla Fashion and Retail Limited,ABFRL.NS,,-6.5,-0.14866,84.682,-0.456
A B Infrabuild Limited,ABINFRA.NS,49.527775,0.36,0.15856,58.087,-0.21
Aditya Birla Lifestyle Brands Limited,ABLBL.NS,,,,266.809,0.037
ABM International Limited,ABMINTLLTD.NS,,-4.58,-0.28386998,109.454,-0.374
Aditya Birla Real Estate Limited,ABREL.NS,,-23.94,-0.070300005,144.576,-0.913
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,22.943716,33.58,0.28410998,1.929,-0.026
ACC Limited,ACC.NS,9.790679,177.24,0.18207,2.435,0.286
Accelya Solutions India Limited,ACCELYA.NS,15.417455,84.56,,22.338,0.071
Accuracy Shipping Limited,ACCURACY.NS,30.578947,0.19,0.022820001,111.931,-0.247
Action Construction Equipment Limited,ACE.NS,27.05347,35.16,0.26391,8.005,-0.016
Ace Integrated Solutions Limited,ACEINTEG.NS,,-1.93,-0.106920004,0.64,-0.946
Archean Chemical Industries Limited,ACI.NS,38.22849,13.83,0.09313,14.782,-0.03
Andhra Cements Limited,ACL.NS,,-17.92,-1.0503299,1222.06,0.419
Acme Solar Holdings Limited,ACMESOLAR.NS,28.998745,7.97,0.14244,271.784,0.585
