Company,Ticker,Strengths,Risks
20 Microns Limited,20MICRONS.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
21st Century Management Services Limited,21STCENMGM.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Revenue growth data missing']"
360 ONE WAM LIMITED,360ONE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
3i Infotech Limited,3IINFOLTD.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
3M India Limited,3MINDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
3P Land Holdings Limited,3PLAND.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
5Paisa Capital Limited,5PAISA.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
63 moons technologies limited,63MOONS.NS,['Low debt'],"['PE data missing', 'Weak profitability', 'Declining revenues']"
A2Z Infra Engineering Limited,A2ZINFRA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
AAA Technologies Limited,AAATECH.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Debt data missing']"
Aadhar Housing Finance Limited,AADHARHFC.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Aakash Exploration Services Limited,AAKASH.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aaron Industries Limited,AARON.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Aartech Solonics Limited,AARTECH.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Aarti Drugs Limited,AARTIDRUGS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Aarti Industries Limited,AARTIIND.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Aarti Pharmalabs Limited,AARTIPHARM.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Aarti Surfactants Limited,AARTISURF.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Aarvi Encon Limited,AARVI.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Aavas Financiers Limited,AAVAS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Aban Offshore Limited,ABAN.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
ABB India Limited,ABB.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Abbott India Limited,ABBOTINDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Aditya Birla Capital Limited,ABCAPITAL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
A B Cotspin India Limited,ABCOTS.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Allied Blenders and Distillers Limited,ABDL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Aditya Birla Fashion and Retail Limited,ABFRL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
A B Infrabuild Limited,ABINFRA.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Aditya Birla Lifestyle Brands Limited,ABLBL.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
ABM International Limited,ABMINTLLTD.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aditya Birla Real Estate Limited,ABREL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']"
ACC Limited,ACC.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Accelya Solutions India Limited,ACCELYA.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']"
Accuracy Shipping Limited,ACCURACY.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Action Construction Equipment Limited,ACE.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']"
Ace Integrated Solutions Limited,ACEINTEG.NS,[],"['PE data missing', 'Weak profitability', 'Moderate debt level', 'Declining revenues']"
Archean Chemical Industries Limited,ACI.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Andhra Cements Limited,ACL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Acme Solar Holdings Limited,ACMESOLAR.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Acutaas Chemicals Limited,ACUTAAS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
Adani Energy Solutions Limited,ADANIENSOL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Adani Enterprises Limited,ADANIENT.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Adani Green Energy Limited,ADANIGREEN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Adani Power Limited,ADANIPOWER.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
ADF Foods Limited,ADFFOODS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Archidply Decor Limited,ADL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Ador Welding Limited,ADOR.NS,"['Average profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued']
Adroit Infotech Limited,ADROITINFO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Allied Digital Services Limited,ADSL.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Advance Agrolife Limited,ADVANCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS,"['Fair valuation', 'High profitability']","['Moderate debt level', 'Declining revenues']"
Advent Hotels International Limited,ADVENTHTL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Advanced Enzyme Technologies Limited,ADVENZYMES.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Aegis Logistics Limited,AEGISLOG.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Aegis Vopak Terminals Limited,AEGISVOPAK.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Aequs Limited,AEQUS.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
Aeroflex Enterprises Limited,AEROENTER.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Aeroflex Industries Limited,AEROFLEX.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Aeroflex Neu Limited,AERONEU.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Aether Industries Limited,AETHER.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Afcons Infrastructure Limited,AFCONS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
