Company,Ticker,Strengths,Risks,PE,EPS,ROE,DebtEquity,RevenueGrowth,Score,Recommendation
20 Microns Limited,20MICRONS.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",12.306953,17.69,0.14787,35.637,-0.039,-1,SELL
21st Century Management Services Limited,21STCENMGM.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Revenue growth data missing']",,-19.14,-0.28151,,,-1,SELL
360 ONE WAM LIMITED,360ONE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",42.68549,27.63,0.16991,147.235,0.244,-2,SELL
3i Infotech Limited,3IINFOLTD.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",4.251269,3.94,0.23164,10.763,-0.015,1,SELL
3M India Limited,3MINDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",70.42182,490.97,0.33832002,6.416,0.14,0,SELL
3P Land Holdings Limited,3PLAND.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,,,,,0,SELL
5Paisa Capital Limited,5PAISA.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",22.333113,15.13,0.07865,46.389,-0.269,-4,SELL
63 moons technologies limited,63MOONS.NS,['Low debt'],"['PE data missing', 'Weak profitability', 'Declining revenues']",,-7.0,-0.01773,0.148,-0.466,-1,SELL
A2Z Infra Engineering Limited,A2ZINFRA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",125.928566,0.14,-0.018609999,353.886,0.208,-3,SELL
AAA Technologies Limited,AAATECH.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Debt data missing']",33.803635,2.75,0.11717,,0.823,0,SELL
Aadhar Housing Finance Limited,AADHARHFC.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],21.607143,22.4,0.15477,255.35,0.169,-1,SELL
Aakash Exploration Services Limited,AAKASH.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-0.05,0.02232,53.68,0.076,-3,SELL
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",56.615997,1.25,0.0252,38.267,-0.2,-5,SELL
Aaron Industries Limited,AARON.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",52.75749,3.34,0.16944,72.439,0.216,-2,SELL
Aartech Solonics Limited,AARTECH.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",52.838707,0.93,0.09066,15.972,0.244,-3,SELL
Aarti Drugs Limited,AARTIDRUGS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],19.203865,21.73,0.14491999,39.05,0.091,-2,SELL
Aarti Industries Limited,AARTIIND.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",46.99126,8.01,0.05215,69.555,0.291,-3,SELL
Aarti Pharmalabs Limited,AARTIPHARM.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",28.08245,26.44,0.12287,32.974,-0.087,-3,SELL
